iter	Passed	Remaining
0	63	63163
1	78	38936
2	93	31228
3	106	26439
4	122	24452
5	133	22168
6	147	20968
7	161	20041
8	170	18792
9	183	18164
10	194	17526
11	205	16907
12	217	16517
13	229	16162
14	240	15818
15	256	15793
16	272	15775
17	286	15628
18	294	15212
19	307	15063
20	316	14763
21	332	14758
22	344	14634
23	355	14460
24	368	14352
25	383	14354
26	405	14602
27	422	14681
28	449	15043
29	458	14828
30	464	14506
31	470	14218
32	477	13988
33	483	13731
34	494	13642
35	501	13427
36	512	13327
37	521	13204
38	533	13135
39	549	13184
40	565	13224
41	584	13335
42	599	13341
43	627	13640
44	646	13727
45	664	13777
46	677	13728
47	692	13729
48	719	13956
49	733	13939
50	745	13876
51	767	13989
52	788	14084
53	821	14384
54	829	14251
55	844	14236
56	866	14339
57	879	14277
58	891	14224
59	904	14168
60	920	14172
61	928	14044
62	939	13977
63	950	13900
64	962	13843
65	976	13818
66	986	13739
67	1000	13716
68	1016	13716
69	1032	13722
70	1046	13692
71	1060	13671
72	1072	13623
73	1082	13546
74	1099	13558
75	1115	13558
76	1130	13556
77	1143	13516
78	1154	13463
79	1172	13483
80	1187	13474
81	1200	13440
82	1216	13441
83	1230	13421
84	1247	13424
85	1256	13357
86	1272	13350
87	1285	13322
88	1303	13338
89	1327	13419
90	1347	13456
91	1369	13516
92	1393	13595
93	1406	13556
94	1418	13513
95	1431	13476
96	1443	13439
97	1456	13402
98	1480	13473
99	1499	13493
100	1510	13445
101	1524	13424
102	1541	13424
103	1551	13365
104	1564	13333
105	1572	13262
106	1594	13310
107	1607	13277
108	1625	13288
109	1648	13339
110	1657	13277
111	1667	13222
112	1676	13160
113	1697	13190
114	1720	13238
115	1731	13196
116	1749	13200
117	1762	13172
118	1776	13154
119	1781	13065
120	1792	13023
121	1801	12966
122	1811	12917
123	1821	12867
124	1833	12836
125	1848	12824
126	1859	12782
127	1871	12746
128	1885	12731
129	1892	12667
130	1913	12694
131	1925	12663
132	1942	12663
133	1954	12633
134	1967	12609
135	1984	12609
136	1993	12560
137	2015	12586
138	2021	12519
139	2027	12456
140	2044	12456
141	2062	12462
142	2077	12451
143	2092	12436
144	2106	12420
145	2117	12384
146	2128	12348
147	2144	12347
148	2157	12323
149	2167	12282
150	2179	12256
151	2192	12232
152	2210	12237
153	2222	12207
154	2241	12220
155	2257	12212
156	2272	12199
157	2287	12187
158	2300	12170
159	2313	12145
160	2326	12121
161	2345	12134
162	2360	12122
163	2378	12125
164	2396	12130
165	2408	12102
166	2424	12093
167	2434	12057
168	2443	12014
169	2456	11995
170	2474	11997
171	2490	11990
172	2501	11959
173	2518	11955
174	2529	11924
175	2542	11904
176	2551	11864
177	2560	11823
178	2578	11828
179	2588	11791
180	2604	11782
181	2624	11797
182	2637	11773
183	2648	11743
184	2659	11715
185	2670	11688
186	2679	11650
187	2689	11616
188	2702	11597
189	2715	11574
190	2728	11557
191	2738	11522
192	2756	11526
193	2770	11509
194	2781	11483
195	2792	11453
196	2809	11452
197	2822	11431
198	2837	11423
199	2858	11433
200	2878	11441
201	2890	11420
202	2911	11428
203	2921	11400
204	2935	11382
205	2941	11339
206	2950	11301
207	2957	11261
208	2969	11239
209	2984	11227
210	2994	11196
211	3007	11179
212	3017	11148
213	3029	11126
214	3037	11090
215	3051	11074
216	3066	11064
217	3078	11044
218	3089	11019
219	3107	11016
220	3121	11002
221	3132	10978
222	3144	10957
223	3161	10951
224	3179	10950
225	3191	10931
226	3201	10900
227	3217	10892
228	3233	10886
229	3245	10865
230	3258	10847
231	3276	10845
232	3294	10846
